iter	Passed	Remaining
0	3	3278
1	5	2794
2	8	2731
3	10	2657
4	13	2629
5	16	2719
6	19	2727
7	21	2714
8	24	2690
9	27	2703
10	30	2706
11	32	2701
12	35	2692
13	38	2703
14	41	2727
15	44	2718
16	47	2758
17	50	2763
18	53	2758
19	56	2749
20	58	2748
21	61	2741
22	64	2737
23	66	2723
24	69	2712
25	72	2700
26	74	2686
27	77	2683
28	79	2673
29	82	2667
30	85	2667
31	87	2653
32	90	2653
33	93	2660
34	96	2661
35	99	2657
36	102	2666
37	105	2670
38	110	2717
39	113	2727
40	116	2728
41	119	2721
42	122	2734
43	125	2721
44	128	2717
45	131	2720
46	134	2723
47	137	2729
48	142	2765
49	145	2769
50	148	2761
51	151	2754
52	155	2774
53	158	2777
54	161	2768
55	163	2758
56	166	2751
57	169	2746
58	172	2753
59	175	2751
60	178	2743
61	180	2736
62	184	2736
63	187	2735
64	190	2735
65	192	2726
66	195	2720
67	197	2710
68	201	2719
69	204	2717
70	207	2712
71	209	2705
72	212	2702
73	215	2696
74	219	2702
75	221	2698
76	225	2699
77	227	2693
78	230	2686
79	233	2685
80	236	2680
81	238	2674
82	241	2670
83	244	2671
84	247	2667
85	250	2666
86	254	2668
87	257	2669
88	261	2676
89	264	2678
90	268	2681
91	271	2677
92	274	2673
93	277	2671
94	280	2667
95	282	2660
96	285	2654
97	287	2650
98	290	2644
99	293	2644
100	296	2639
101	299	2634
102	301	2629
103	306	2638
104	309	2635
105	312	2637
106	315	2633
107	318	2628
108	320	2622
109	323	2617
110	326	2611
111	328	2606
112	331	2601
113	333	2595
114	336	2591
115	339	2589
116	342	2586
117	345	2581
118	348	2579
119	351	2574
120	353	2570
121	356	2565
122	359	2559
123	361	2554
124	364	2550
125	367	2548
126	370	2546
127	373	2541
128	375	2538
129	378	2533
130	380	2527
131	383	2521
132	386	2516
133	388	2513
134	391	2509
135	394	2505
136	396	2500
137	399	2494
138	402	2493
139	405	2489
140	407	2484
141	410	2480
142	413	2476
143	415	2472
144	418	2468
145	421	2463
146	424	2462
147	427	2458
148	429	2453
149	432	2448
150	434	2443
151	437	2441
152	440	2438
153	443	2437
154	446	2433
155	449	2429
156	452	2428
157	454	2424
158	457	2420
159	460	2418
160	463	2416
